epoch,categorical_accuracy,loss
0,0.028140206,4.8122000565122525
1,0.049692117,4.358906683736812
2,0.071114846,4.160431301286299
3,0.10306592,3.999869723419182
4,0.13413426,3.8448175818904837
5,0.1557077,3.6976397989825243
6,0.1765491,3.5530198023556707
7,0.19388106,3.416390561248496
8,0.20946907,3.289325163807204
9,0.22729622,3.162239440974147
10,0.24505877,3.039542182997021
11,0.2671705,2.9139090609972427
12,0.288464,2.794609041262858
13,0.30846575,2.669357605591941
14,0.33197692,2.5552956582101305
15,0.35017008,2.4461210816784207
16,0.3744994,2.3352699595582234
17,0.39607286,2.228469065649074
18,0.4158808,2.1343259698880694
19,0.43379408,2.0475639848906635
20,0.45338672,1.954070774985187
21,0.4725703,1.866559167931422
